,review_content,rating
51,"  When buying storage solution better buy it from renounce brands, samsung might good for Mobile ,but with storage solution they r worst. Not even last 6 month. Where other SD cards which bought years back working fine without any issue. Biggest issue is heating and at last chip died with all my important data.",1.0 out of 5 stars
52,"  Very badStorage capacity very bad.Value for money zero.1) when I go for feed back on my order 128gb memory card , it's goes on my old order of 64gb memory card.2) when I compare my 64gb memory card & new 128gb card ..Both are same class i order but look so different in colour & matireal.3) when I put new 128gb memory card in mobile , it's instantly restart automatically.4)  i format new 128gb memory card and put 300mb & 800mb files for check deta transfer speed it's stuck and saw me read & write error and instantly restart again my mobile and saw me transfer speed 00kb ....very bad experience this time....I give 2 star due to Amazon service either this time I got very bad memory card & product.",2.0 out of 5 stars
53,  20mbps write speed 80mbps read speed on my Lenovo p2 & my TV  & my pc & my laptop. It's not a 90\100mbps.i don't know why this problem for Samsung or retailer or Amazon.,1.0 out of 5 stars
54,  Don't buying this item this is duplicate corrupted Samsung memory card don't buying this 64gb card I will return this card  and I have complaint c-s reply money  time west 1000 % guarantee.,1.0 out of 5 stars
55,  As I can see I have recieved a card which is a complete FAKE !!! (Pictures attached)It looks completely different from the earlier card (64Gb) . Which I received .. and from the pictures posted here .. the packaging also is so bad .There is video on YouTube which I seen aftr I ordered the earlier card.  That points out on 2 major features .. one is the shabby red paint job .. and the othr is side.. the plastic is black which is a fake .. requesting for a exchange .,1.0 out of 5 stars
56,"  This is a proper storage card, with no issues in data transfer and storage. Rate of data transmission is good, can be used as phones default storage with no loss in speed/efficiency.Durability is great, won't break on falling or under a bit pressure, water proof - just dry it out first before using. I bought the 64 gb variant at offer price, one gets about 61gb depending on the phone with which you are using. On offer price of Rs 949 should buy it.",5.0 out of 5 stars
57,"  👉Free up your devices with the largest capacity and highest read/write speeds in Samsung's class, perfect for full HD video - with astonishing performance and reliability, Evo Plus lets you save and treasure the richness of life👉Record and play full HD video - with ultra-fast read and write speeds up to 95mbps and 20mbps respectively, the 32GB Evo Plus lets you transfer a 3GB video to your notebook in just 38 seconds👉Never worry about space again - with massive amounts of storage the 32GB Evo Plus is enough memory for up to 1 hour and 30 minutes of 4K UHD video, 4 hours of full HD video, 7,500 photos or 3,000 songs👉Interface: UHS-I, compatible to HS interface. For products incompatible with UHS-I interface, the speeds may vary subject to different interface conditions👉You can even capture detailed full HD video for any query please contact 1800 3000 8282👉The included SD adapter fits most devices under almost every brand name, while preserving all of Evo Plus's outstanding speed and performance👉Capacity: 32 GB, (1 GB = 1 Billionbyte) * Actual storage capacity may be lower than the labeled capacity. Part of the storage may be used for system files and other storage control purposes.",5.0 out of 5 stars
58,"  It has only been a couple of months when I bought this card so can’t comment on durability.  All cards are equally easy to use so here also, nothing can be said about this particular product. As regards last point of storage capacity, when I am buying 64 GB card, it will give me 64 GB storage space so what is so special about it?Anyway, this card is fast enough for my highest quality full HD video being streamed from my video camera or even from DSLR.",5.0 out of 5 stars
59,"  It's the second time i got bluffed.Now it got "" Write protected"" itself.Only readable on PC even then can't format or delete anything from it.As stored data is confidential even can't take it to samsung service center.In nutshell,its just samsung's unfair practise to make such product in a way, so innocent customer buy it again & again.Very disappointed !!!!!",1.0 out of 5 stars
60,  This is my fourth Samsung evo microsd and am buying repeatedly since I am confident about quality and performance. I use it for my car dash cam which means it is put to test in the harshest environment continuously and has come out with flying colours so far.,5.0 out of 5 stars
61,"  Product = Seems Original, made in Philippines with white edges.Memory= Reflects arround 63+ GB in storage in settings of phone, but arround 58 GB if checked through other means like in storage setting of Chrome. Not checked on PC.Write Speed= Speed fluctuates from 10 MB/s to 60 MB/s, (on average 30 to 40+ MB/s) from phone's internal storage to the card, though it depends on the file system, but it was really very fast. One can easily transfer very huge files in seconds.Packaging = Packaging was decent enough from the seller and as usual from the manufacturer.Card Adapter= Made in China, haven't used it yet.My verdict= Perfectly good and one must go for it.",5.0 out of 5 stars
62,"  Needed an SD card for work and travwmlkmg purposes and heard great things about Samsung's Evo series.Unfortunately I got a fake one, the SD card was orange in colour (as opposed to red) and didn't fit properly. It even had paint peeling off the SD card. Be very careful. Had ordered for a replacement.",1.0 out of 5 stars
63,"  Remember that in SD Cards, there are Classes and Grades and UHS I and II and... UGH!  Gets a bit crazy. I think right now Class V90 UHS II are fastest, but really even the UHS I cards are PLENTY fast enough unless you're recording 4K video or you're always copying gigs and gigs regularly... and they're much cheaper too!So... this card was exactly as described.  Comes with bigger SD adapter so you can use in PC or phone/tablet.  Tested it using some free tools and its speed is what it should be.  Of course you don't get the actual advertised capacity in ANY storage device you buy, which is ridiculous, but that's the way it is.Had a couple SanDisk cards and one failed after almost five years (which is not too bad)... thought I'd try Samsung this time since it is so well-rated.I will update my review if things change, but so far I'm happy with this card... have pounded it hard over the past couple days and it's doing great!  Doesn't get hot either.I think you will not be disappointed.  Thanks, and please click ""Helpful"" below...",5.0 out of 5 stars
64,  Excellent companion for your phone.This is here is high graded SD card.Most people don't know that there are diff grade levels of speed.It definitely makes a difference if u have apps swapped to it external storage or if u root.,5.0 out of 5 stars
65,"  I purchased the best card available then, manufactured by a company like SAMSUNG. It just stopped working suddenly. The funniest part is, you can see the content on a laptop, but can't write, delete or even format (tried DOS formatting also). When inserted in the phone, it's not detected. Tried inserting in several phones, so no issue with the phone. Incidentally, the phone is also a high-end Samsung. Really frustrated with the quality. Samsung, please improve the quality of your products.",1.0 out of 5 stars
66,  I have both SanDisk ultra and Samsung evo plus purchased on same date . Both in 32 gb variant . Speed test shows 70 Mbps read for Samsung and 56 Mbps for SanDisk ultra and 25 Mbps write for Samsung vs 14 Mbps write for SanDisk .Test done in single mobile device.  Both cards out of the box and nothing stored.  I was a SanDisk fan earlier.  But this changed my mind . Samsung is still leader in memory chip  manufacturing.. be it SSD  RAM  etc.,5.0 out of 5 stars
67,  purchased it on 2017 by found written 10 years warranty on description.. but in just 2 years it have been damaged... can't believe... i thought my datas will be secured in this SD card... but only regret left within me... all data lost... just want to add a question... if your product cannot safe for long time as 10 years than why u guys used to add add description like 10 years warranty... believing u guys mean smashing own head on wall..,1.0 out of 5 stars
68,  I have been using it for the last one and half months. It works as expected. speed is very good and I have not noticed any lag whatsoever.The good:● Works as expected● Good value for money (if  you get it with some discount during prime day or lightning deal)The bad:● None!Overall I am very happy with this micro sd card.,5.0 out of 5 stars
69,"  What can i say about this according to my experience this memory card/sd card is amazing some features of this is01-It is a branded company memory card (Samsung).02-It have a capacity of 59.9gb/64gb.03-Its speed was average.04-It colour was Red.05-Lower price ever in Samsung.06-It is usefull to store videos in 360p form/mode.you can store upto 1200 videos in 360p format.07-Samsung was giving five year guarantee on this memory card.08-Comfortable for mobile phone ie usefull when it has been used in mobile phone.09-Its speed goes upto 55-60mb/s.10-It is mostly durable memory card.11-At the time of transferring files it forces files to move fast.12-Most of the videos are able to store in it because they covers very less space.13-It is class 10 category memory card.All the features which customers desire in memory card/sd card all those are available in this memory card.So if anyone want a good one then he/she must try this, it is one of the best amongst all available in the market.",5.0 out of 5 stars
70,"  Like the fact that had no problems with the card,just popped it into my phone and it was good to go. Available storage about 63GB. Seems to be original Samsung, card made in Philippines,adapter made in China. It's a relatively new card manufactured in May '19.Smooth HD and 4K UHD video shooting with no stutter or lag. Slow motion vids also work fine. Haven't transferred any files so can't comment but rated read 100 Mb/s and 60 Mb/s write speed should be fast enough for most.Got this after my old Samsung Evo plus 32 GB filled up and expecting this to last for years also. Durable card as it is water/magnet/x-ray proof and can withstand very low or high temperatures. Comes with 10yr warranty and you can trust Samsung,leading manufacturer of storage devices. Though the mrp was 1899/-, got a deal at 700. Definitely good value. No wonder this card comes up top in most reviews.Only wish packaging was improved as it arrived in only a thin plastic cover, but no complaints as product is working fine.😃",5.0 out of 5 stars
71,"  For 2019 & earlier MB-MC128GA/IN, for 2020 u should go for MB-MC128HA/IN. The Read/Write speed is close to what was mentioned in pack and this model number is available @ samsung UK site but not @ samsung India site as on 08-09-20. It's authentic and manufactured by Samsung India and source is Phillipines and adapter from China. It's price should be <=₹1500 then only the deal will be profitable. Whatever I'm happy for having this new samsung microsd card. The product cover pack design is nice.",5.0 out of 5 stars
72,  Thank God it's working fine. Packaging is not perfect like other amazon sellers.I used this 64 gb memory card for my go pro hero 7 black and I have recorded 4k 30ps video on it.,5.0 out of 5 stars
73,"  I really liked this stuff pretty much.  I have been facing  lot of lagging issues with my gadget; however,  after using this massive sd card the problem  has been sorted out. I could store all all my photos  and videos  to this store.  Recently,  i have moved  a bulk of pics and videos to sd card. As a result,  my phone works smoothly. Predominantly i like this stylish  card due to its class,  grade and high speed processing. Thanks to the technology  and samsung. I can give 5/5 because  its worthy  to every penny and long lasting.",5.0 out of 5 stars
74,  Regretted buying this productWithin 3 months of purchase i lost the data stored on Moto g turbo because it became unreadable.I am still trying to recover itPlease use product for potable storage don't let Moto android device format this for internal storageYou might lose use data because of a bug,1.0 out of 5 stars
75,"  I had received a defective product, I put the memory card in my brand new store bought phone and suddenly the phone started going into restart loop, took it to the service center and got to know that the memory card was corrupted and that all the phone data and software has been erased. Not expected this from the seller, was unable to return initially but then raised a complaint on Amazon and made the return. Disappointed, this card cost me my Rs50000 phone. Not expected from Amazon.",1.0 out of 5 stars
76,"  I bought this128 GB Samsung Memory card in April 2019 thinking that its at lowest price but disappointed when price dropped more after i bought it.  Further, now since October 2019 card is showing ""corrupted"" status after 73GB data. Data again shows when I unmount and mount card. But again shows Corrupted next day.Very disappointed by SAMSUNG for this.Therefore I changed rating to 2 star only.",2.0 out of 5 stars
77,"  Good Micro sd card for daily use in the phone.Good for saving photos and running apps.Better than Sandisk and 10 Years warranty.Comes with Adaptor for PC use.Not good for 4k and High-resolution videos.Don't use in D_SLR using an adaptor, it will ruin your camera hardware.Wait for Deal, one can get it for Rs700-Rs750",5.0 out of 5 stars
78,"  Beats me how some people come to review products and claim that 32gb sdcard had only 29 gb space. how 64gb pen drive has 57 gb space. If you dont have technical knowledge, do your research and find out. Dont bring your ignorance to undermine good products because your brain is tiny. Every storage device has less capacity than advertised. This is because every storage device has to store some other identifying information which defines its own identity and the identity of its contents. It keeps some space reserved for specific reasons. Even your phone storage and laptop HDD storage works similarly. Open your selfie phone when you pout on it and check its storage, then downvote it on commerce websites because you have an ignorant arrogant tiny brain.As far as this product is concerned, its value for money and works great. I did not check read write speeds because I am not crazy or paranoid and these products are not supposed to have lightening speeds. Recommended.",5.0 out of 5 stars
79,"  i never trusted samsung products for storage (since once my hard drive died in just 1 1/2 years). i thought it might have changed now. evo series looked premium & the price was also a little premium as compared to other ones so i thought to give it a try....but sadly after 2 years of use it died. my stopped detecting it suddenly....i tried hooking it up on my pc but that didn't worked either. i did every thing i could to revive it but all in vain. i didnt used the card that much. only some apps were installed in it. no songs, videos or photos.... but still it died...",2.0 out of 5 stars
80,"  I use this with my GoPro Hero 7 Backas a secondary option to my SanDisk Extreme (microSDXC, U3, C10, V30).This is a cheap alternative which helps me record 1080p HD videos at 100fpsflawlessly.I definitely recommend this.",4.0 out of 5 stars
81,  Things I liked about this product1. It has a 32 gb of storage capacity2. It is a class 10 sd card3. It is value for money4. It is very easy to install Things I did not liked about this product1. It has 32 gb of storage but usable is just 29 gb2. Did not got an adapter with itThings inside the box1. Memory card2. User manualHit helpfull if you like the review,5.0 out of 5 stars
82,  Reviewing after more than a year.Storage for price - 10/10Speeds - 8/10Durability and build - 10/10Water resistance - 10/10Overall this is a Wonderful product. Better than others in the segment. Go for it.,5.0 out of 5 stars
83,  I purchased this two months ago. I have not faced any problems with this card while taking photos or shooting videos. I use this card on Samsung S7 Edge.,5.0 out of 5 stars
84,  Purchased 64Gb card for a smartphone that came with 16Gb of internal memory. The card comes with class 10 rating which definitely makes your files transfer fast.I have used the same card in a SLR and a DSLR and the card did not slow down the performance of my camera. So you can definitely purchase for your use.,5.0 out of 5 stars
85,  Stopped working after a week of purchase,1.0 out of 5 stars
86,  Authentic and works as advertised. I am already using couple of these and had no issues whatsoever.Write speed is around 56mbps so it's fine for recording 4k movies or moving large files.Overall price and performance wise samsung cards have worked upto my expectations hence worth buying.Fingers crossed.,5.0 out of 5 stars
87,  I purchased this 128GB samsung Sd Card and the storage capacity is only 32GB though the chip i received is a 128GB card. Big time hardware fault. I am unable to return this device since the time has lapsed now. I want amazon folks to act on this. Really disappointed with Samsung and Amazon for bad service and advice people to rethink/verify before buying this product.,1.0 out of 5 stars
88,  The card wrote at 45-55MB/s thru the adapter and read at  more than 90MB/s.  Great value for money. Good Buy!  A must have product for your DSLR and or smartphones for video recording in 1080P and 4K as well as photographs.,4.0 out of 5 stars
89,  This is not the first sd card for me from Samsung I am using the same type of product in my other two smartphones it works great without any issues on my three devices and also I have got it in offer price of rs.600 and thanks to the retailer for giving me a great product from a great brand... But issues and problems may vary from product and the retailers from whom u buy the product.,5.0 out of 5 stars
90,  I received the product is good condition.1. SD card is 128gb with class 10 to level 32. out of 128gb system files are 9gb so 119gb is available actual space.3. Price is little higher compared to other SD card brands.4. Write and read speed is good as mentioned in description up to100/90mbps. For me it was pretty closer to 85mbps.5. Samsung warranty is 10 year but on card cover backside it shows 1yr physical warranty I am confused on this.6. Using it now so as of now no problem faced.7. Will update if anything in coming days.,4.0 out of 5 stars
91,"  I have been thinking and reading about the benefits of Samsung EVO cards but always bought Kingston ( because of its price) but this time I finally bought this, and trust me, I am using this on my daughter's Fire Tablet and it has Literally BOOSTED its speed.I am not sure how it works really but being in computers industry I can understand that Hard drives plays a VERY important role in Device Speed.It really works.You will never regret in spending a little more on this.",5.0 out of 5 stars
92,"  I received a used cardAs you can see from the picture. The cover was torn for both the card and the adapterPlease dont try to fool your customers and if someone has returned a product, it must have some defects. You cannot just give the returned item to another customer.",1.0 out of 5 stars
93,"  This is worst product I have ever received from Amazon, the product was partially opened from the side when I opened the packet . Even inside the hard plastic I can see its not original as the quality is being compromised when you look at the SD card because it looks ripped and you can see wear and tear as it was already used. Very disappointed with this product that was delivered by Amazon. I never imagined Amazon would deliver non original products like this and my loyalty has been changed towards amazon after seeing this product.",1.0 out of 5 stars
94,  Replacement of one of the new sd card of the two given in the same pakage has been made! this time donot give me fake one.thanks for sending one real sd cardAll memory cards by samsung are1) ONLY MADE IN PHILIPPINES ANS NO OTHER COUNTRY.2) THE BORDER OF THE MEMORY CARD MUST BE WHITE3) CHECK THE BORDER OF THE CARDBOARD FOR TEMPERING ETC4) PRINT QUALITY OF THE TEXT MUST BE GOOD.5) SAMSUNG MEMORY CARDS ALWAYS COMES WITH A ADAPTER6) MOST IMPORTANT  CHECK IF RETURN IS AVAILABLE WITH YOUR ORDER IN CASE YOU RECIEVE FAKE ONES.,5.0 out of 5 stars
95,  This is something called no stress for space. Got the product genuine and well packed and the speed of the Samsung Evo Plus is amazingly fast and osm build quality. Few years back I brought Samsung 32gb from Amazon only.  This storage device got the speed transfer nearly 88mbps to 90mbps transfer speed capacity. Go for Good value for the money. Highly recommended. thanks seller and Amazon.,5.0 out of 5 stars
96,  I dont know why they fool the customers using a fake item. I am a web developer at Samsung R&D and I know how the original item looks like. Our team makes them. The one that I received was not even a memory card. It was a toy. A 128gb sticker was stuck over the 64gb label. I inserted the toy and it didn't even recognize it since it is not genuine. Don't fall for it. I you want to buy the original one go for samsung website or an official store.,1.0 out of 5 stars
97,"  The SD card stopped working after four months , its showing the SD card is corrupt kindly reinsert. I am so badly disappointed with the Amazon for selling this fake cheap product to it's customer.",1.0 out of 5 stars
98,"  After 4 months of usage, the SD has stopped working. Samsung claims it is out of warranty and is not willing to help in the case.The seller made a mistake on the printed bill as he mentioned the wrong serial number, now with no contact info of the seller samsung is not accepting the invoice issued.Please help in this case and I shall rewrite a review once the whole issue is resolved.",1.0 out of 5 stars
99,"  It's a class 10 u3 card which means it's for perfect. Speed is incredible. I'm using it in my Nintendo switch and I've got expected performance.Samsung memory cards are more durable than others so unless you are extremely harsh, these cards can take mild punishment like moisture and dirt (not too much but still more than cheap Chinese products).If you have to buy a new memory card, do not buy anything below 64 gb. I initially bought a 32gb card but quickly changed my mind.",5.0 out of 5 stars
100,  Was looking at SanDisk 64GB class3 card for my GoPro7 after a slight research on GoPro website found this card to be also suitable. Function/ speed everything is great biggest factor is the cost difference between this and SanDisk as a low cost alternative.Reccommend to use a memory card above 64 GB for Gopro,4.0 out of 5 stars
101,"  A very good product was Samsung. When my previous card (also Samsung) stopped working, I ordered a 32 GB card to replace my 16 GB card. The card was super easy to install and works great! It was almost the same rate as rivals but was delivered within a day; so I opted for it as even a day with SD card in phone is difficult. I move all movies, videos and apps on the card to keep internal memory free. With so much free space, I have to think about what to install next?",5.0 out of 5 stars
